question_id,category,question,config_name,privacy_mode,sql_valid,execution_success,result_match,failure_category,parse_strategy,tools_used,sqlstate,timed_out,cli_ok,claude_time_ms,sql_execution_time_ms,total_time_ms,expected_sql,generated_sql,error
A03,A,Show the name and status of every task.,D,strict,True,True,True,,json,mcp__wren__list_models;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,8733.0,138.22760002221912,16708.247300004587,"SELECT name, status FROM tasks","SELECT name, status FROM tasks",
B03,B,Which tasks are currently blocked?,D,strict,True,True,False,RESULT_MISMATCH,json,mcp__wren__get_instructions;mcp__wren__list_models;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,7885.0,138.3879000786692,15763.853899901733,SELECT name FROM tasks WHERE status = 'BLOCKED',"SELECT id, name, workflow_id, assigned_user_id, due_date FROM tasks WHERE status = 'BLOCKED'",
C04,C,"List the workflows sorted by category, and within each category by name.",D,strict,True,True,True,,json,mcp__wren__list_models;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,9020.0,120.30780001077801,16970.8501000423,"SELECT category, name FROM workflows ORDER BY category, name","SELECT name, category FROM workflows ORDER BY category, name",
D04,D,Show the 5 unfinished tasks with the earliest deadlines.,D,strict,True,True,False,RESULT_MISMATCH,json,mcp__wren__list_models;mcp__wren__get_instructions;mcp__wren__recall_queries;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,16835.0,136.76490006037056,25088.283699937165,"SELECT name, due_date FROM tasks
WHERE status <> 'COMPLETED'
ORDER BY due_date
LIMIT 5","SELECT id, name, status, priority, due_date FROM tasks WHERE status <> 'COMPLETED' ORDER BY due_date ASC NULLS LAST LIMIT 5",
E04,E,What is the highest number of tasks belonging to any single workflow?,D,strict,True,True,True,,json,mcp__wren__list_models;mcp__wren__get_instructions;mcp__wren__dry_plan,,False,True,7002.0,142.1076999977231,15844.514600001276,"SELECT MAX(c) FROM (
  SELECT COUNT(*) AS c FROM tasks GROUP BY workflow_id
) s",SELECT MAX(task_count) AS max_tasks FROM (SELECT COUNT(tasks.id) AS task_count FROM workflows LEFT JOIN tasks ON tasks.workflow_id = workflows.id GROUP BY workflows.id) sub,
F05,F,"For each user, how many tasks are they assigned? Include users with none.",D,strict,True,True,True,,json,mcp__wren__list_models;mcp__wren__get_instructions;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,8073.0,162.36660000868142,16337.608400033787,"SELECT u.full_name, COUNT(t.id) AS task_count
FROM users u
LEFT JOIN tasks t ON t.assigned_user_id = u.id
GROUP BY u.id, u.full_name","SELECT users.full_name, COUNT(tasks.id) AS task_count FROM users LEFT JOIN tasks ON tasks.assigned_user_id = users.id GROUP BY users.id, users.full_name ORDER BY users.full_name",
G03,G,Which departments have more than 2 users?,D,strict,True,True,False,RESULT_MISMATCH,json,mcp__wren__get_context;mcp__wren__list_models;mcp__wren__dry_plan,,False,True,10963.0,136.76060002762824,19502.541900030337,"SELECT department FROM users
GROUP BY department
HAVING COUNT(*) > 2","SELECT department, COUNT(*) AS user_count FROM users GROUP BY department HAVING COUNT(*) > 2",
H02,H,Show each task's name alongside the name of the workflow it belongs to.,D,strict,True,True,True,,json,mcp__wren__describe_model;mcp__wren__describe_model;mcp__wren__list_models;mcp__wren__describe_model;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,11541.0,151.08119999058545,19344.716500025243,"SELECT t.name AS task_name, w.name AS workflow_name
FROM tasks t
JOIN workflows w ON w.id = t.workflow_id","SELECT tasks.name AS task_name, workflows.name AS workflow_name FROM tasks JOIN workflows ON tasks.workflow_id = workflows.id",
I03,I,"For each blocked task, show the task name, the workflow name and the workflow owner's name.",D,strict,True,True,True,,json,mcp__wren__list_models;mcp__wren__get_instructions;mcp__wren__recall_queries;mcp__wren__describe_model;mcp__wren__describe_model;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,16556.0,150.88210010435432,24601.660300046206,"SELECT t.name AS task_name, w.name AS workflow_name, o.full_name AS owner
FROM tasks t
JOIN workflows w ON w.id = t.workflow_id
JOIN users o ON o.id = w.owner_user_id
WHERE t.status = 'BLOCKED'","SELECT t.name AS task_name, w.name AS workflow_name, u.full_name AS workflow_owner_name FROM tasks t JOIN workflows w ON w.id = t.workflow_id JOIN users u ON u.id = w.owner_user_id WHERE t.status = 'BLOCKED'",
J02,J,"List every user together with how many workflows they own, including those who own none.",D,strict,True,True,False,SEMANTIC_MISUNDERSTANDING,json,mcp__wren__list_models;mcp__wren__get_instructions;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,7877.0,171.4253999525681,16941.388500039466,"SELECT u.full_name, COUNT(w.id) AS workflow_count
FROM users u
LEFT JOIN workflows w ON w.owner_user_id = u.id
GROUP BY u.id, u.full_name","SELECT users.id, users.full_name, COUNT(workflows.id) AS workflow_count FROM users LEFT JOIN workflows ON workflows.owner_user_id = users.id GROUP BY users.id, users.full_name ORDER BY users.id",
