question_id,category,question,config_name,privacy_mode,sql_valid,execution_success,result_match,failure_category,parse_strategy,tools_used,sqlstate,timed_out,cli_ok,claude_time_ms,sql_execution_time_ms,total_time_ms,prompt_tokens,completion_tokens,cache_read_tokens,cache_write_tokens,wren_tool_calls,expected_sql,generated_sql,error
A02,A,List all workflows showing the name and category of each.,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,7547.0,120.60080002993345,14871.061800047755,176234,304,161122,15104,4,"SELECT name, category FROM workflows","SELECT name, category FROM workflows ORDER BY id",
A03,A,Show the name and status of every task.,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__dry_plan,,False,True,5419.0,138.56930006295443,12773.114799987525,129846,247,116100,13740,3,"SELECT name, status FROM tasks","SELECT name, status FROM tasks ORDER BY id",
B03,B,Which tasks are currently blocked?,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__get_instructions;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,9041.0,129.86939994152635,16453.10210005846,185557,554,167034,18515,5,SELECT name FROM tasks WHERE status = 'BLOCKED',"SELECT id, name, workflow_id, priority, assigned_user_id, due_date FROM tasks WHERE status = 'BLOCKED' ORDER BY id",
C04,C,"List the workflows sorted by category, and within each category by name.",D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,7275.0,126.27410003915429,14831.24610001687,176215,323,161137,15070,4,"SELECT category, name FROM workflows ORDER BY category, name","SELECT name, category FROM workflows ORDER BY category, name",
D04,D,Show the 5 unfinished tasks with the earliest deadlines.,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__get_instructions;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,10479.0,128.40309995226562,18185.965300071985,185026,488,166834,18184,5,"SELECT name, due_date FROM tasks
WHERE status <> 'COMPLETED'
ORDER BY due_date
LIMIT 5","SELECT name, due_date, status FROM tasks WHERE status <> 'COMPLETED' ORDER BY due_date ASC LIMIT 5",
E04,E,What is the highest number of tasks belonging to any single workflow?,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__dry_plan,,False,True,6567.0,127.60100001469254,14251.622700016014,129862,346,116109,13747,3,"SELECT MAX(c) FROM (
  SELECT COUNT(*) AS c FROM tasks GROUP BY workflow_id
) s","SELECT MAX(task_count) AS max_tasks FROM (SELECT workflow_id, COUNT(*) AS task_count FROM tasks GROUP BY workflow_id) t",
F05,F,"For each user, how many tasks are they assigned? Include users with none.",D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__dry_plan,,False,True,6340.0,166.6640000184998,14101.118699996732,130377,387,116253,14118,3,"SELECT u.full_name, COUNT(t.id) AS task_count
FROM users u
LEFT JOIN tasks t ON t.assigned_user_id = u.id
GROUP BY u.id, u.full_name","SELECT u.id, u.full_name, COUNT(t.id) AS task_count
FROM users u
LEFT JOIN tasks t ON t.assigned_user_id = u.id
GROUP BY u.id, u.full_name
ORDER BY u.id",
G03,G,Which departments have more than 2 users?,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__describe_model;mcp__wren__dry_plan,,False,True,7979.0,114.32129994500428,15160.147599992342,175661,364,160843,14810,4,"SELECT department FROM users
GROUP BY department
HAVING COUNT(*) > 2","SELECT department, COUNT(*) AS user_count FROM users GROUP BY department HAVING COUNT(*) > 2",
H02,H,Show each task's name alongside the name of the workflow it belongs to.,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__dry_plan,,False,True,6345.0,144.58469999954104,13826.882099965587,130234,329,116185,14043,3,"SELECT t.name AS task_name, w.name AS workflow_name
FROM tasks t
JOIN workflows w ON w.id = t.workflow_id","SELECT t.name AS task_name, w.name AS workflow_name FROM tasks t JOIN workflows w ON w.id = t.workflow_id ORDER BY t.id",
I03,I,"For each blocked task, show the task name, the workflow name and the workflow owner's name.",D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__list_models;mcp__wren__get_instructions;mcp__wren__dry_plan,,False,True,7878.0,165.38200003560632,15636.163000017405,136105,501,118945,17154,4,"SELECT t.name AS task_name, w.name AS workflow_name, o.full_name AS owner
FROM tasks t
JOIN workflows w ON w.id = t.workflow_id
JOIN users o ON o.id = w.owner_user_id
WHERE t.status = 'BLOCKED'","SELECT t.name AS task_name, w.name AS workflow_name, u.full_name AS workflow_owner_name FROM tasks t JOIN workflows w ON w.id = t.workflow_id JOIN users u ON u.id = w.owner_user_id WHERE t.status = 'BLOCKED' ORDER BY t.id",
