question_id,category,question,config_name,privacy_mode,sql_valid,execution_success,result_match,failure_category,parse_strategy,tools_used,sqlstate,timed_out,cli_ok,claude_time_ms,sql_execution_time_ms,total_time_ms,expected_sql,generated_sql,error
A01,A,"List every user with their name, email and department.",D,strict,True,True,True,,json,mcp__wren__dry_plan,,False,True,5003.0,110.77669996302575,12408.261999953538,"SELECT full_name, email, department FROM users","SELECT full_name, email, department FROM users",
A02,A,List all workflows showing the name and category of each.,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__dry_plan,,False,True,12139.0,115.3344000922516,20733.376200078055,"SELECT name, category FROM workflows","SELECT name, category FROM workflows",
A03,A,Show the name and status of every task.,D,strict,True,True,True,,json,mcp__wren__dry_plan,,False,True,3465.0,136.88870007172227,11024.95660004206,"SELECT name, status FROM tasks","SELECT name, status FROM tasks",
A04,A,Which departments exist in the organisation?,D,strict,True,True,True,,json,mcp__wren__dry_plan,,False,True,3958.0,118.99840005207807,11335.614399984479,SELECT DISTINCT department FROM users,SELECT DISTINCT department FROM users ORDER BY department,
B01,B,Which users are currently unavailable for new assignments?,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__dry_plan,,False,True,9452.0,141.79719996172935,17008.27260001097,SELECT full_name FROM users WHERE status = 'INACTIVE',"SELECT id, full_name, email FROM users WHERE status = 'INACTIVE'",
B02,B,List the tasks that have not been started yet.,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__dry_plan,,False,True,10321.0,141.9418000150472,17750.609899987467,SELECT name FROM tasks WHERE status = 'TODO',"SELECT id, name, workflow_id, assigned_user_id, due_date FROM tasks WHERE status = 'TODO'",
B03,B,Which tasks are currently blocked?,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__dry_plan,,False,True,8046.0,141.80470001883805,15660.321300034411,SELECT name FROM tasks WHERE status = 'BLOCKED',"SELECT tasks.id, tasks.name FROM tasks WHERE tasks.status = 'BLOCKED'",
B04,B,Show the tasks that have critical priority.,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__dry_plan,,False,True,6937.0,141.89520000945777,14528.242800035514,SELECT name FROM tasks WHERE priority = 'CRITICAL',"SELECT id, name, status, priority, due_date FROM tasks WHERE priority = 'CRITICAL'",
B05,B,Which workflows are still in draft?,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__dry_plan,,False,True,17859.0,127.4565999628976,25433.88040002901,SELECT name FROM workflows WHERE status = 'DRAFT',"SELECT workflows.id, workflows.name FROM workflows WHERE workflows.status = 'DRAFT'",
C01,C,List the workflows from newest to oldest by creation date.,D,strict,True,True,True,,json,mcp__wren__recall_queries;mcp__wren__dry_plan,,False,True,9224.0,144.50769999530166,18019.821899943054,SELECT name FROM workflows ORDER BY created_at DESC,"SELECT name, created_at FROM workflows ORDER BY created_at DESC",
